child_id,shape,score
4641.0,3,2
7506.0,7,2
7508.0,2,2
7510.0,3,1
7511.0,2,6
7511.0,7,2
7511.0,16,2
7512.0,2,2
7512.0,16,3
7513.0,3,4
7514.0,17,3
7516.0,2,5
7518.0,3,2
7520.0,2,4
7522.0,2,4
7523.0,3,3
7523.0,16,1
7536.0,7,4
7541.0,3,2
7542.0,7,2
7543.0,7,2
7545.0,3,3
7545.0,7,5
7548.0,2,2
7549.0,2,2
7549.0,17,2
7550.0,17,2
7551.0,16,1
7552.0,3,2
7554.0,16,2
7558.0,16,3
7559.0,17,2
7560.0,16,2
7560.0,17,1
7561.0,17,2
7563.0,7,2
7570.0,2,3
7570.0,17,2
7571.0,2,3
7571.0,7,1
7572.0,2,1
7573.0,3,4
7573.0,17,2
7574.0,2,2
7574.0,16,3
7575.0,3,4
7577.0,16,3
7578.0,17,2
7579.0,2,4
7579.0,7,1
7580.0,2,3
7580.0,7,2
7580.0,16,4
7581.0,2,2
7581.0,16,1
7581.0,17,2
7582.0,3,4
7583.0,17,2
7586.0,2,2
7587.0,16,3
7588.0,2,6
7588.0,3,4
7589.0,16,3
7590.0,2,2
7591.0,7,1
7591.0,17,1
7592.0,2,1
7592.0,3,3
7594.0,2,2
7595.0,7,3
7596.0,7,3
7597.0,3,6
7597.0,17,3
7598.0,3,2
7598.0,17,2
7600.0,7,5
7600.0,16,3
7601.0,7,4
7602.0,2,3
7602.0,3,3
7602.0,16,4
7605.0,2,2
7605.0,3,4
7605.0,17,1
7606.0,3,2
7606.0,7,3
7606.0,17,2
7607.0,2,7
7607.0,7,2
7607.0,16,4
7607.0,17,2
7621.0,2,3
7623.0,17,2
7625.0,17,2
7626.0,3,3
7626.0,7,3
7626.0,16,2
7626.0,17,2
7627.0,2,3
7627.0,16,3
7630.0,7,4
7630.0,17,2
7631.0,2,3
7632.0,7,4
7637.0,2,1
7639.0,2,3
7640.0,16,3
7644.0,7,2
7647.0,17,2
7648.0,16,2
7715.0,2,4
7715.0,17,2
7721.0,2,1
7721.0,17,2
7723.0,2,2
7725.0,16,2
7726.0,2,4
7726.0,17,2
7728.0,7,1
7728.0,16,2
7730.0,3,2
7730.0,7,3
7731.0,16,2
7732.0,7,1
7732.0,17,2
7734.0,3,3
7734.0,7,1
7734.0,17,2
7735.0,2,2
7736.0,17,2
7739.0,2,2
7739.0,3,3
7739.0,7,4
7745.0,16,2
7746.0,7,4
7746.0,16,3
7747.0,3,3
7748.0,7,1
7749.0,16,1
7751.0,16,2
7752.0,3,5
7752.0,17,1
7755.0,3,3
7755.0,7,2
7757.0,7,3
7758.0,2,3
7759.0,7,1
7760.0,3,3
7761.0,16,2
7761.0,17,2
7762.0,2,2
7762.0,3,2
7762.0,16,3
7762.0,17,2
7764.0,2,4
7765.0,2,1
7766.0,16,2
7767.0,3,2
7768.0,16,2
7769.0,16,2
7771.0,2,6
7771.0,17,2
7772.0,3,3
7773.0,16,3
7777.0,2,4
7777.0,17,2
7778.0,16,2
10000.0,3,3
10001.0,2,2
10001.0,7,1
10001.0,16,2
10002.0,17,2
10003.0,3,3
10007.0,3,5
10007.0,17,2
10009.0,3,3
10010.0,17,2
10011.0,2,6
10011.0,16,4
10013.0,2,2
10014.0,2,2
10014.0,16,4
10015.0,2,2
10016.0,16,2
10018.0,7,5
10018.0,17,2
10019.0,2,1
10019.0,17,2
10020.0,7,1
10020.0,17,2
10021.0,3,3
10021.0,16,3
10022.0,16,3
10023.0,17,2
10025.0,7,6
10026.0,2,4
10029.0,2,4
10029.0,16,4
10041.0,2,4
10041.0,16,3
10042.0,7,3
10043.0,16,3
10044.0,2,4
10044.0,7,5
10045.0,2,2
10045.0,16,2
10046.0,7,5
10047.0,2,1
10047.0,3,4
10047.0,7,2
10048.0,2,1
10048.0,3,1
10048.0,7,1
10048.0,17,1
10049.0,17,2
10057.0,2,4
10057.0,3,4
10059.0,2,2
10060.0,2,4
10060.0,7,3
10061.0,2,2
10062.0,7,4
10064.0,2,6
10064.0,3,3
10066.0,2,2
10067.0,3,6
10067.0,7,4
10068.0,3,3
10068.0,17,2
10070.0,17,2
10073.0,2,4
10073.0,3,4
10074.0,16,3
10075.0,3,4
10076.0,7,2
10076.0,17,2
10077.0,17,3
10078.0,7,3
10078.0,17,2
10079.0,17,3
10080.0,7,2
10083.0,2,3
10085.0,2,3
10085.0,7,2
10086.0,7,5
10088.0,3,2
10088.0,7,2
10088.0,17,1
10089.0,17,2
10090.0,2,5
10092.0,7,2
10093.0,2,4
10093.0,7,2
10094.0,2,5
10095.0,7,4
10096.0,17,1
10097.0,17,1
10098.0,2,4
10099.0,16,2
10100.0,2,3
10100.0,3,2
10100.0,17,2
10101.0,16,4
10111.0,17,2
10117.0,7,6
10117.0,16,2
10118.0,17,2
10119.0,2,2
10119.0,7,4
10120.0,3,5
10121.0,2,6
10122.0,2,2
10122.0,3,2
10125.0,2,6
10125.0,3,4
10126.0,7,4
10126.0,17,3
10128.0,16,5
10130.0,2,2
10140.0,3,5
10140.0,17,3
10142.0,16,3
10144.0,2,2
10144.0,3,3
10147.0,7,3
10147.0,17,3
10148.0,16,4
10149.0,16,4
10152.0,2,6
10152.0,17,2
10154.0,3,3
10154.0,7,2
10200.0,2,4
10206.0,16,2
10207.0,17,2
10209.0,7,4
10209.0,17,2
10211.0,3,3
10211.0,16,2
10213.0,2,3
10213.0,16,3
10213.0,17,2
10214.0,3,4
10216.0,3,3
10216.0,17,1
10218.0,3,4
10218.0,16,4
10219.0,17,4
10220.0,2,3
10221.0,7,4
10221.0,16,3
10222.0,3,3
10222.0,16,3
10224.0,17,2
10225.0,2,6
10226.0,2,2
10228.0,2,4
10237.0,3,3
10240.0,3,2
10240.0,7,5
10241.0,7,6
10243.0,7,3
10243.0,17,2
10245.0,16,3
10247.0,3,3
10248.0,3,3
10249.0,2,4
10249.0,17,2
10304.0,3,4
10306.0,3,6
10306.0,16,6
10306.0,17,3
10307.0,3,6
10308.0,16,6
10310.0,2,7
10310.0,16,6
10310.0,17,7
10311.0,17,5
10312.0,3,6
10312.0,16,7
10314.0,17,4
10315.0,2,7
10315.0,3,5
10315.0,17,5
10317.0,3,6
10352.0,7,6
10353.0,2,5
10356.0,7,5
10357.0,2,7
10357.0,17,2
10359.0,2,5
10359.0,17,5
10360.0,7,6
10360.0,16,6
10361.0,2,7
10361.0,3,6
10362.0,17,5
10363.0,17,4
10364.0,17,7
10368.0,3,7
10369.0,2,5
10376.0,2,1
10376.0,16,5
10377.0,17,4
10378.0,2,5
10378.0,3,6
10378.0,7,6
10380.0,2,7
10384.0,16,4
10386.0,2,5
10386.0,7,6
10390.0,3,5
10390.0,7,5
10390.0,16,6
10391.0,7,5
10392.0,17,4
10400.0,17,2
10404.0,16,3
10405.0,2,4
10406.0,7,3
10407.0,16,3
10407.0,17,2
10408.0,16,4
10409.0,3,2
10411.0,16,4
10411.0,17,2
10412.0,16,3
10413.0,2,6
10413.0,7,6
10413.0,17,6
10414.0,2,4
10415.0,3,4
10415.0,17,3
10418.0,2,5
10418.0,17,3
10419.0,16,4
10420.0,2,4
10420.0,16,3
10420.0,17,2
10421.0,2,4
10421.0,3,5
10422.0,16,6
10423.0,7,1
10424.0,3,5
10424.0,17,2
10425.0,2,6
10425.0,16,4
10428.0,17,2
10429.0,2,1
10430.0,16,5
10432.0,7,6
10432.0,16,4
10433.0,7,2
10435.0,3,3
10435.0,7,6
10437.0,17,3
10438.0,2,4
10444.0,2,6
10444.0,7,4
10446.0,7,3
10447.0,2,3
10448.0,2,6
10449.0,2,2
10450.0,16,3
10451.0,17,2
10452.0,3,5
10452.0,7,4
10453.0,7,6
10454.0,16,4
10456.0,3,4
10456.0,16,6
10456.0,17,4
10457.0,7,5
10458.0,2,2
10458.0,16,5
10459.0,7,6
10460.0,17,2
10461.0,2,5
10461.0,16,6
10463.0,2,3
10464.0,7,6
10465.0,2,4
10465.0,3,4
10466.0,17,3
10470.0,17,2
10471.0,16,3
10471.0,17,3
10474.0,17,5
10478.0,17,2
10480.0,16,5
10481.0,3,4
10482.0,7,5
10482.0,16,4
10483.0,2,2
10483.0,7,5
10484.0,3,6
10484.0,16,6
10485.0,3,5
10485.0,16,4
10486.0,7,6
10487.0,17,1
10488.0,2,6
10488.0,16,5
10494.0,2,3
10495.0,17,3
10496.0,2,5
10496.0,16,4
10497.0,2,2
10497.0,16,4
10498.0,3,5
10500.0,2,4
10500.0,3,5
10501.0,16,3
10501.0,17,3
10502.0,7,4
10503.0,17,3
10504.0,7,3
10505.0,7,4
10509.0,3,3
10509.0,16,3
10510.0,3,4
10511.0,2,4
10511.0,16,4
10513.0,16,3
10514.0,17,3
10516.0,16,5
10516.0,17,3
10517.0,7,5
10518.0,7,3
10519.0,16,3
10520.0,2,2
10520.0,16,3
10522.0,2,3
10522.0,17,2
10524.0,16,4
10524.0,17,3
10526.0,3,3
10526.0,17,3
10530.0,3,6
10530.0,7,4
10534.0,16,2
10538.0,3,3
10539.0,2,3
10541.0,16,3
10542.0,7,2
10543.0,3,5
10544.0,3,1
10546.0,2,4
10546.0,7,4
10546.0,17,4
10547.0,7,2
10548.0,17,4
10550.0,3,3
10552.0,3,4
10553.0,3,3
10556.0,7,2
10556.0,16,2
10557.0,3,3
10557.0,16,3
10561.0,3,4
10561.0,7,4
10562.0,17,2
10563.0,2,3
10563.0,7,6
10566.0,3,2
10567.0,2,5
10567.0,17,3
10571.0,7,4
10572.0,3,4
10577.0,2,4
10577.0,16,2
10578.0,16,6
10578.0,17,3
10580.0,2,6
10580.0,7,6
10580.0,16,4
10580.0,17,5
10583.0,7,4
10583.0,17,3
10587.0,3,3
10588.0,16,6
10588.0,17,3
10589.0,2,6
10592.0,2,4
10592.0,3,3
10605.0,3,4
10605.0,7,7
10605.0,16,3
10606.0,7,6
10607.0,7,1
10609.0,2,5
10609.0,7,2
10609.0,17,3
10610.0,3,4
10611.0,16,4
10611.0,17,3
10614.0,2,3
10614.0,3,3
10617.0,16,5
10618.0,2,7
10620.0,17,4
10624.0,7,2
10626.0,3,4
10628.0,17,3
10629.0,3,5
10629.0,16,5
10629.0,17,3
10631.0,16,6
10632.0,16,4
10632.0,17,2
10633.0,7,4
10634.0,7,3
10634.0,17,2
