child_id,shape,score
4641,3,1
7506,7,1
7508,2,1
7510,3,0
7511,2,3
7511,7,1
7511,16,1
7512,2,1
7512,16,1
7513,3,2
7514,17,1
7516,2,3
7518,3,1
7520,2,2
7522,2,2
7523,3,1
7523,16,0
7536,7,2
7541,3,1
7542,7,1
7543,7,1
7545,3,1
7545,7,3
7548,2,1
7549,2,1
7549,17,1
7550,17,1
7551,16,0
7552,3,1
7554,16,1
7558,16,1
7559,17,1
7560,16,1
7560,17,0
7561,17,1
7563,7,1
7570,2,1
7570,17,1
7571,2,1
7571,7,0
7572,2,0
7573,3,2
7573,17,1
7574,2,1
7574,16,1
7575,3,2
7577,16,1
7578,17,1
7579,2,2
7579,7,0
7580,2,1
7580,7,1
7580,16,2
7581,2,1
7581,16,0
7581,17,1
7582,3,2
7583,17,1
7586,2,1
7587,16,1
7588,2,3
7588,3,2
7589,16,1
7590,2,1
7591,7,0
7591,17,0
7592,2,0
7592,3,1
7594,2,1
7595,7,1
7596,7,1
7597,3,3
7597,17,1
7598,3,1
7598,17,1
7600,7,3
7600,16,1
7601,7,2
7602,2,1
7602,3,1
7602,16,2
7605,2,1
7605,3,2
7605,17,0
7606,3,1
7606,7,1
7606,17,1
7607,2,4
7607,7,1
7607,16,2
7607,17,1
7621,2,1
7623,17,1
7625,17,1
7626,3,1
7626,7,1
7626,16,1
7626,17,1
7627,2,1
7627,16,1
7630,7,2
7630,17,1
7631,2,1
7632,7,2
7637,2,0
7639,2,1
7640,16,1
7644,7,1
7647,17,1
7648,16,1
7715,2,2
7715,17,1
7721,2,0
7721,17,1
7723,2,1
7725,16,1
7726,2,2
7726,17,1
7728,7,0
7728,16,1
7730,3,1
7730,7,1
7731,16,1
7732,7,0
7732,17,1
7734,3,1
7734,7,0
7734,17,1
7735,2,1
7736,17,1
7739,2,1
7739,3,1
7739,7,2
7745,16,1
7746,7,2
7746,16,1
7747,3,1
7748,7,0
7749,16,0
7751,16,1
7752,3,3
7752,17,0
7755,3,1
7755,7,1
7757,7,1
7758,2,1
7759,7,0
7760,3,1
7761,16,1
7761,17,1
7762,2,1
7762,3,1
7762,16,1
7762,17,1
7764,2,2
7765,2,0
7766,16,1
7767,3,1
7768,16,1
7769,16,1
7771,2,3
7771,17,1
7772,3,1
7773,16,1
7777,2,2
7777,17,1
7778,16,1
10000,3,1
10001,2,1
10001,7,0
10001,16,1
10002,17,1
10003,3,1
10007,3,3
10007,17,1
10009,3,1
10010,17,1
10011,2,3
10011,16,2
10013,2,1
10014,2,1
10014,16,2
10015,2,1
10016,16,1
10018,7,3
10018,17,1
10019,2,0
10019,17,1
10020,7,0
10020,17,1
10021,3,1
10021,16,1
10022,16,1
10023,17,1
10025,7,3
10026,2,2
10029,2,2
10029,16,2
10041,2,2
10041,16,1
10042,7,1
10043,16,1
10044,2,2
10044,7,3
10045,2,1
10045,16,1
10046,7,3
10047,2,0
10047,3,2
10047,7,1
10048,2,0
10048,3,0
10048,7,0
10048,17,0
10049,17,1
10057,2,2
10057,3,2
10059,2,1
10060,2,2
10060,7,1
10061,2,1
10062,7,2
10064,2,3
10064,3,1
10066,2,1
10067,3,3
10067,7,2
10068,3,1
10068,17,1
10070,17,1
10073,2,2
10073,3,2
10074,16,1
10075,3,2
10076,7,1
10076,17,1
10077,17,1
10078,7,1
10078,17,1
10079,17,1
10080,7,1
10083,2,1
10085,2,1
10085,7,1
10086,7,3
10088,3,1
10088,7,1
10088,17,0
10089,17,1
10090,2,3
10092,7,1
10093,2,2
10093,7,1
10094,2,3
10095,7,2
10096,17,0
10097,17,0
10098,2,2
10099,16,1
10100,2,1
10100,3,1
10100,17,1
10101,16,2
10111,17,1
10117,7,3
10117,16,1
10118,17,1
10119,2,1
10119,7,2
10120,3,3
10121,2,3
10122,2,1
10122,3,1
10125,2,3
10125,3,2
10126,7,2
10126,17,1
10128,16,3
10130,2,1
10140,3,3
10140,17,1
10142,16,1
10144,2,1
10144,3,1
10147,7,1
10147,17,1
10148,16,2
10149,16,2
10152,2,3
10152,17,1
10154,3,1
10154,7,1
10200,2,2
10206,16,1
10207,17,1
10209,7,2
10209,17,1
10211,3,1
10211,16,1
10213,2,1
10213,16,1
10213,17,1
10214,3,2
10216,3,1
10216,17,0
10218,3,2
10218,16,2
10219,17,2
10220,2,1
10221,7,2
10221,16,1
10222,3,1
10222,16,1
10224,17,1
10225,2,3
10226,2,1
10228,2,2
10237,3,1
10240,3,1
10240,7,3
10241,7,3
10243,7,1
10243,17,1
10245,16,1
10247,3,1
10248,3,1
10249,2,2
10249,17,1
10304,3,2
10306,3,3
10306,16,3
10306,17,1
10307,3,3
10308,16,3
10310,2,4
10310,16,3
10310,17,4
10311,17,3
10312,3,3
10312,16,4
10314,17,2
10315,2,4
10315,3,3
10315,17,3
10317,3,3
10352,7,3
10353,2,3
10356,7,3
10357,2,4
10357,17,1
10359,2,3
10359,17,3
10360,7,3
10360,16,3
10361,2,4
10361,3,3
10362,17,3
10363,17,2
10364,17,4
10368,3,4
10369,2,3
10376,2,0
10376,16,3
10377,17,2
10378,2,3
10378,3,3
10378,7,3
10380,2,4
10384,16,2
10386,2,3
10386,7,3
10390,3,3
