num_contours,avg_area,std_area,std_4nn,circle_similarity,avg_perimeter,std_perimeter,avg_compactness,std_compactness,avg_eccentricity,std_eccentricity,avg_solidity,std_solidity,avg_curvature,std_curvature,fft_2,fft_3,fft_4,fft_5,fft_6,fft_7,fft_8,fft_9,fft_10,offset_x_mean,offset_y_mean,offset_x_std,offset_y_std,var_radii,var_angle_gaps,centroid_hull_area,centroid_hull_perimeter,quad_1,quad_2,quad_3,quad_4,mean_1nn,avg_degree,avg_clustering,area_ratio,bbox_aspect,std_aspect,sym_horiz,sym_vert,fractal_dim,template_match_score,occupancy_error,assignment_cost,avg_diameter,std_diameter,avg_pairwise_diff,child_id,label
21,217.3809524,12.08984694,16.75393014,0.054421331,61.03872715,2.388512951,0.733948683,0.033278663,0.930487744,0.033718881,0.924968351,0.015808045,2.610488029,0.580449265,1.14628,1.3312936,0.97851574,0.8211706,0.8110596,0.80133027,0.90020925,0.77729154,0.53758323,0.599495303,-24.0436598,94.20675423,58.14802713,1775.570799,0.053759849,45515.10914,853.6172512,6,7,4,4,50.88777676,4.761904762,0.238095238,0.067864895,1.648514843,0.076814057,0.819943884,-0.005163763,-1.992167825,1.0000002,0,0,18.74589161,0.669843764,0.786705375,0,6
18,100.2222222,228.1794629,31.00672379,0.245289366,64.99289695,133.0183617,0.519928493,0.168873609,0.548437302,0.171986072,0.795554877,0.16374596,2.630671548,0.580604882,0.40066445,0.3028093,0.16302572,0.12409997,0.13069585,0.10202781,0.08700889,0.06185391,0.0514965,-59.4494236,-4.940424504,80.37521598,83.3405581,1795.57262,0.129643659,49780.18678,888.6249898,6,3,8,1,42.73003578,4.888888889,0.287581699,0.020289953,1.247191007,0.430191721,-0.012450483,-0.01502233,-1.439874369,0.031074638,0.571428571,3.100000538,17.2929782,21.72703422,0.419333369,4641,1
2,509.5,211.5,,0.396177823,1147.655978,419.2985513,0.005374475,0.001684425,0.496400734,0.037521767,0.017180546,0.002228709,2.735377218,0.41610306,0.23987941,0.21886492,0.14990413,0.07397838,0.05324279,0.022666259,0.032488637,0.011629909,0.017485132,12.12897619,26.9258184,46.65960406,55.79794703,797.3521031,0.065824985,0,0,1,0,0,1,145.4720529,,,0.013304088,1.720379139,0.463527023,0.021818999,0.006614113,-1.479333236,0.007081959,1,19.05455054,325.0420924,44.11505566,3.184312582,7501,1
21,732.3333333,439.5309549,14.10032844,0.195590671,152.7337855,77.96993356,0.521486307,0.265041883,0.635601848,0.135438217,0.797608341,0.220301596,2.714864332,0.433919143,0.53818476,0.4615581,0.25575915,0.15251888,0.117254674,0.06589059,0.063674085,0.046181336,0.027654491,7.111572956,-8.621846479,97.34897088,46.81241305,1684.587975,0.126090649,37313.20549,789.146265,6,7,4,4,43.25399319,4.761904762,0.238095238,0.205662093,1.762135914,0.147017393,0.33154282,0.081545293,-1.747493508,0.058093715,0.333333333,0.060601559,44.14512084,15.31008761,2.547723293,7502,3
10,122.85,178.994979,37.44755718,0.444505824,316.4559648,382.552319,0.106675578,0.11033597,0.311616492,0.284552317,0.345482322,0.291404017,2.830023105,0.428944283,0.17624268,0.0927197,0.04796263,0.03410585,0.03732593,0.0229573,0.015212236,0.015434479,0.017631203,3.148950328,7.352160839,59.55351948,77.51270304,1035.166881,0.172419911,32330.71483,711.7869912,1,4,4,1,53.6089268,4.4,0.488888889,0.0139847,1.499999994,11.26431222,0.149502887,-0.00853383,-2.300702727,0.03743938,0.666666667,11.0493059,121.9194238,147.3701262,0.849150002,7504,1
7,694.1428571,343.1774545,46.77354579,0.21686605,128.8339508,40.53305341,0.518144626,0.120081606,0.581696648,0.100712041,0.863269487,0.071589616,2.621820673,0.486000171,0.33610874,0.29059523,0.21901667,0.15501042,0.102188,0.083279826,0.051289957,0.046363395,0.038695984,13.32629819,-9.278635492,112.2739404,80.37440564,3245.381197,0.31328627,49165.22976,948.2362109,2,2,1,2,111.3862312,4,0.666666667,0.04513073,1.157377045,0.186537012,0.109475326,-0.033999186,-1.619802771,0.010408248,0.80952381,14.06002132,41.34808612,10.47002809,2.395633936,7505,1
31,17.66129032,9.379444836,25.59692039,0.267085841,19.09779114,7.74361196,0.620769239,0.131878674,0.498821527,0.205537866,0.886880539,0.094419531,2.565060922,0.569437842,0.5007681,0.3230966,0.20061885,0.19537337,0.1109583,0.11388926,0.113814145,0.06583021,0.0763783,-26.91387882,-16.5320338,124.3121029,115.0379284,547.4565984,0.009760117,92763.35115,1119.02811,10,7,8,6,29.60299241,4.774193548,0.159139785,0.004529323,1.090090087,0.459906567,0.001873249,0.006648975,-1.79248125,-0.01330831,0.80952381,10.11790378,7.375988902,3.240063815,0.086576611,7506,1
5,4420,2566.981905,83.44374531,0.167900999,359.2195082,153.4555822,0.498687329,0.189186262,0.669675427,0.126551914,0.883903281,0.07369965,2.712274662,0.565144028,0.4465967,0.3636101,0.24168046,0.11044951,0.12577215,0.1421718,0.13481961,0.05289687,0.07856345,25.28421166,14.37316113,98.61837857,77.95691743,2060.718497,0.846627624,16169.20732,715.6972288,0,2,2,1,93.62363059,3.2,0.8,0.233518951,1.102389075,0.141077843,0.151598217,0.080597144,-1.852433996,-0.035105538,0.952380952,16.06243282,101.6483602,39.12557814,14.63381195,7507,1
34,26.47058824,16.99002353,24.01944422,0.280742811,25.64921046,13.15665597,0.545295779,0.143111257,0.493530663,0.198024986,0.825658811,0.09411011,2.564805759,0.583623722,0.31245258,0.5165392,0.17467195,0.17034388,0.124883346,0.1637927,0.10820629,0.090713784,0.090401344,-17.47173432,-20.02010425,86.2422329,75.9696897,2724.753742,0.020595745,76314.70841,1023.397246,14,9,5,6,36.59245386,5.294117647,0.160427807,0.00829195,1.122186492,0.614295051,0.017293945,0.000663534,-1.9,0.012729124,0.380952381,13.05562341,9.944050649,5.775045524,0.12506251,7508,1
6,3044,3152.939409,48.35525411,0.336291668,627.2454245,519.3085684,0.238943262,0.252486725,0.401118159,0.189296098,0.56416932,0.30592205,2.721884477,0.42212152,0.18830734,0.17928101,0.1583484,0.07981136,0.07160926,0.06811137,0.061518114,0.036704782,0.025618754,2.119719185,-2.83821611,51.53069833,46.16697458,1708.793036,0.788290576,11750.96229,497.1310566,3,1,1,1,49.92659949,4,0.8,0.207909296,1.499999994,0.656184569,0.342102658,0.204983244,-2.219675669,0.11747356,0.761904762,15.05095876,142.9932956,119.8711144,10.55487442,7509,2
