child_id,label
0,7
4641,1
7501,1
7502,2
7504,3
7505,4
7506,2
7507,1
7508,1
7509,2
7510,2
7511,2
7512,4
7513,1
7514,4
7516,5
7517,3
7518,1
7520,3
7522,4
7523,1
7530,2
7532,3
7536,4
7537,2
7538,2
7539,3
7541,2
7542,2
7543,2
7545,5
7546,2
7548,1
7549,3
7550,3
7551,2
7552,4
7553,3
7554,5
7556,1
7557,3
7558,1
7559,5
7560,4
7561,3
7563,2
7569,4
7570,2
7571,1
7572,2
7573,2
7574,2
7575,4
7576,5
7577,3
7578,1
7579,1
7580,2
7581,2
7582,4
7583,3
7585,1
7586,3
7587,4
7588,3
7589,2
7590,2
7591,1
7592,1
7593,3
7594,4
7595,3
7596,3
7597,3
7598,1
7599,4
7600,5
7601,3
7602,6
7603,4
7604,3
7605,2
7606,3
7607,2
7620,4
7621,2
7622,3
7623,2
7624,1
7625,3
7626,3
7627,2
7628,3
7629,2
7630,4
7631,4
7632,4
7636,4
7637,4
7638,3
7639,4
7640,2
7642,3
7643,1
7644,2
7646,2
7647,5
7648,3
7710,3
7712,4
7714,4
7715,5
7717,1
7718,1
7721,1
7722,1
7723,2
7725,2
7726,1
7727,3
7728,1
7729,4
7730,4
7731,1
7732,1
7734,1
7735,1
7736,3
7739,4
7741,4
7745,3
7746,3
7747,4
7748,1
7749,3
7750,3
7751,1
7752,3
7753,2
7754,1
7755,2
7756,2
7757,3
7758,3
7759,1
7760,2
7761,3
7762,2
7763,2
7764,3
7765,3
7766,3
7767,2
7768,1
7769,3
7770,2
7771,4
7772,1
7773,3
7774,2
7776,3
7777,3
10000,5
10001,1
10002,2
10003,3
10004,6
10005,4
10006,5
10007,4
10008,6
10009,5
10010,4
10011,6
10012,5
10013,3
10014,6
10015,1
10016,4
10017,3
10018,5
10019,3
10020,1
10021,3
10022,3
10023,3
10024,3
10025,6
10026,5
10027,4
10028,2
10029,3
10035,5
10037,5
10038,4
10039,2
10040,6
10041,5
10042,3
10043,2
10044,5
10045,2
10046,5
10047,3
10049,1
10057,2
10058,2
10059,5
10060,3
10061,3
10062,4
10063,2
10064,2
10065,4
10066,3
10067,4
10068,4
10069,3
10070,4
10071,3
10072,5
10073,1
10074,4
10075,4
10076,2
10077,4
10078,3
10079,3
10080,2
10081,3
10082,2
10083,4
10084,6
10085,2
10086,5
10087,4
10088,2
10089,4
10090,6
10091,6
10092,2
10093,2
10094,3
10095,3
10096,4
10097,3
10098,2
10099,6
10100,3
10101,4
10111,3
10112,6
10113,3
10114,6
10115,2
10116,4
10117,6
10118,4
10119,4
10120,1
10121,1
10122,5
10123,2
10125,5
10126,4
10127,1
10128,4
10129,6
10130,5
10131,3
10140,4
10142,4
10144,2
10145,5
10146,7
10147,3
10148,2
10149,6
10151,2
10152,6
10154,2
10155,6
10200,6
10204,3
10205,2
10206,2
10207,4
10208,1
10209,4
10211,1
10212,4
10213,3
10214,4
10215,5
10216,2
10217,3
10218,2
10219,4
10220,6
10221,4
10222,1
10223,2
10224,3
10225,1
10226,5
10228,4
10236,5
10237,5
10238,1
10239,4
10240,5
10241,6
10242,3
10243,3
10244,5
10245,4
10247,2
10248,2
10249,3
10251,4
10300,5
10304,5
10306,6
10307,7
10308,6
10309,7
10310,7
10311,6
10312,6
10314,1
10315,5
10316,4
10317,2
10350,3
10351,3
10352,6
10353,7
10354,7
10355,6
10356,5
10357,7
10358,5
10359,7
10360,6
10361,5
10362,3
10363,5
10364,7
10365,4
10366,5
10367,6
10368,5
10369,7
10375,4
10376,4
10377,4
10378,6
10379,6
10380,5
10382,4
10384,4
10385,6
10386,6
10387,6
10389,5
10390,5
10391,5
10392,7
10400,3
10401,4
10403,4
10404,5
10405,3
10406,3
10407,4
10408,5
10409,3
10410,2
10411,3
10412,3
10413,6
10414,4
10415,1
10416,1
10417,3
10418,5
10419,1
10420,2
10421,4
10422,6
10423,1
10424,6
10425,4
10426,4
10427,3
10428,5
10429,1
10430,6
10432,6
10433,2
10434,2
10435,6
10437,4
10438,3
10439,4
10441,4
10443,5
10444,4
10445,3
10446,3
10447,5
10448,7
10449,4
10450,2
10451,3
10452,4
10453,6
10455,4
10456,2
10457,5
10458,1
10459,5
10460,5
10461,3
10462,6
10463,5
10464,6
10465,5
10466,4
10468,3
10469,3
10470,4
10471,5
10472,5
10474,1
10476,5
10477,4
10478,5
10479,4
10480,6
10481,4
10482,5
10483,5
10484,3
10485,4
10486,6
10487,6
10488,3
10489,4
10490,7
10491,6
10492,6
10493,3
10494,4
10495,4
10496,5
10497,3
10498,6
10499,2
10500,5
10501,4
10502,4
10503,5
10504,3
10505,4
10506,3
10507,4
10509,3
10510,2
10511,4
10512,2
10513,3
10514,7
10515,3
10516,5
10517,5
10518,3
10519,3
10520,3
10521,3
10522,4
10523,3
10524,5
10530,4
10531,4
10534,1
10535,5
10537,2
10538,6
10539,5
10540,5
10541,2
10542,2
10543,3
10544,4
10546,4
10547,2
10548,4
10549,5
10550,3
10552,4
10553,4
10554,4
10555,3
10556,2
10557,6
10559,2
10560,2
10561,4
10562,2
10563,6
10564,2
10565,1
10566,1
10567,3
10571,4
10572,4
10573,4
10574,3
10575,4
10577,1
10578,3
10580,7
10582,4
10583,4
10585,5
10586,4
10587,4
10588,4
10589,1
10592,6
10593,1
10594,3
10605,7
10606,6
10607,1
10608,4
10609,2
10610,6
10611,5
10612,3
10613,5
10614,5
10615,4
10616,4
10617,5
10618,4
10619,4
10620,5
10622,1
10624,2
10625,4
10626,3
10628,6
10629,5
10630,1
10631,5
10632,3
10633,6
10634,3
10635,1
10636,3
10637,2
10638,5
10639,4
10640,1
10641,2
10642,4
10643,4
10644,5
10645,5
10646,4
10647,5
10648,5
10649,3
10650,3
10651,2
10652,6
10653,4
10654,3
10655,4
10656,4
10657,5
10658,4
10659,6
10660,3
10661,3
10665,3
10666,2
10667,3
10668,3
10690,4
10691,4
10692,2
10693,1
10695,7
10696,6
10697,4
10698,4
10699,4
10701,4
10702,4
10703,5
10704,5
10705,2
10706,2
10708,2
10709,2
10710,3
10711,4
10712,2
10714,4
10715,4
10716,5
10717,3
10718,4
10719,4
10720,4
10721,5
10722,3
10723,4
10724,4
10725,6
10726,4
10727,2
10728,3
10729,3
10730,2
10731,2
10732,4
10733,4
10734,1
10735,3
10736,2
10737,4
10738,6
10739,2
10740,5
10741,4
10742,5
10743,4
10744,5
10745,6
10746,5
10747,4
10748,5
10749,3
10750,7
10752,5
10753,3
10754,3
10755,5
10756,4
10757,6
10758,5
10759,5
10760,2
10761,4
10763,5
10765,5
10766,4
10767,2
10770,2
10774,4
10775,4
10776,3
10778,5
10779,4
10780,5
10781,2
10782,2
10783,3
10785,6
10786,4
10787,3
10788,6
10790,5
10792,3
10793,6
10794,5
10803,3
10808,4
10810,4
10815,4
10816,3
10817,5
10818,2
10820,2
10821,2
10822,1
10823,3
10827,4
10828,6
10829,5
10836,5
10837,2
10838,1
10840,4
10848,2
10850,3
10851,4
10852,6
10853,5
10856,2
10858,4
10859,4
10860,6
10861,1
10862,3
10863,3
10865,5
10866,2
10867,3
10868,2
10869,4
10870,3
10871,3
10872,3
10873,4
10875,5
10876,3
10877,3
10878,2
10879,4
10880,1
10882,2
10883,2
10884,2
10885,2
10886,2
10887,4
10888,4
10889,4
10890,2
10891,6
10892,5
10894,2
10895,5
10896,4
10897,4
10898,2
10899,4
10900,2
10903,2
10905,2
10907,3
10908,3
10910,4
10911,3
10912,3
10915,5
10918,4
10919,3
10920,4
10921,4
10922,6
10923,5
10924,4
10926,3
10927,2
10950,5
10951,2
10952,3
10953,5
10954,5
10955,6
10956,6
10957,4
10958,2
10959,4
10960,2
10961,6
10962,3
10963,4
10964,2
10965,3
10966,5
10967,2
10968,4
10969,6
10970,4
10972,2
10973,5
10974,1
10975,3
10976,2
10977,2
10978,2
10979,3
10980,5
10981,2
10982,4
10983,5
10984,4
10985,2
10986,3
10987,4
10988,2
10989,2
10990,4
10993,4
10994,5
10996,4
10997,1
10998,1
11002,5
11003,7
11004,3
11005,3
11006,3
11007,4
11008,3
11009,5
11010,3
11011,1
11012,5
11013,2
11014,3
11016,4
11017,2
11018,3
11019,2
11020,5
11021,5
11022,6
11023,2
11024,3
11025,4
11027,6
11028,4
11029,4
11030,2
11031,3
11050,4
11051,5
11052,3
11053,3
11054,3
11055,3
11056,4
11057,3
11058,4
11059,1
11060,4
11061,5
11062,4
11063,6
11070,4
11071,4
11072,1
11073,4
11074,4
11075,7
11076,3
11077,3
11078,3
11079,5
11111,5
11200,5
11201,5
11202,4
11203,3
11204,6
11205,7
11206,5
11207,6
11208,6
11209,3
11210,6
11211,6
11213,5
11214,6
11216,6
11221,4
11222,2
11225,4
12502,3
13000,3
13001,3
13003,5
13004,4
13007,4
13010,5
13011,2
13012,3
13013,6
13014,3
13015,6
13016,3
13019,2
13020,3
13021,2
108855,4
109174,6
