child_id,label
0,7
4641,1
7501,2
7502,4
7504,2
7505,2
7506,4
7507,1
7508,3
7509,2
7510,2
7511,4
7512,2
7513,2
7514,1
7516,1
7517,4
7518,1
7520,2
7522,2
7523,2
7530,2
7532,2
7536,1
7537,3
7538,2
7539,2
7541,2
7542,1
7543,2
7545,4
7546,3
7548,2
7549,3
7550,2
7551,4
7552,4
7553,3
7554,1
7556,3
7557,2
7558,2
7559,3
7560,3
7561,3
7563,2
7569,3
7570,2
7571,2
7572,3
7573,2
7574,3
7575,3
7576,4
7577,3
7578,2
7579,3
7580,2
7581,2
7582,2
7583,2
7584,3
7586,4
7587,3
7588,1
7589,3
7590,1
7591,2
7592,2
7593,2
7594,2
7595,2
7596,2
7597,2
7598,3
7599,4
7600,4
7601,3
7602,3
7603,2
7604,1
7605,3
7606,2
7607,3
7620,2
7621,5
7622,4
7623,3
7624,4
7625,2
7626,2
7627,2
7628,1
7629,3
7630,3
7631,4
7632,1
7637,2
7638,4
7639,4
7640,3
7642,3
7643,4
7644,3
7646,3
7647,1
7648,5
7710,2
7712,2
7714,3
7715,3
7717,1
7718,3
7721,2
7722,2
7723,2
7725,3
7726,4
7727,4
7728,5
7729,2
7730,2
7731,2
7732,3
7734,4
7735,3
7736,2
7737,3
7739,4
7741,2
7745,1
7746,3
7747,4
7748,3
7749,1
7750,3
7751,3
7752,3
7753,2
7754,4
7755,5
7756,3
7757,3
7758,3
7759,4
7760,1
7761,1
7762,1
7763,3
7764,2
7765,3
7766,3
7767,2
7768,4
7769,3
7770,4
7771,4
7772,2
7773,2
7774,2
7776,2
7777,2
7778,2
10000,5
10001,3
10002,4
10003,2
10004,3
10005,5
10006,6
10007,5
10008,5
10009,5
10010,2
10011,2
10012,4
10013,4
10014,4
10015,2
10016,4
10017,3
10018,3
10019,2
10020,2
10021,2
10022,3
10023,2
10024,2
10025,2
10026,4
10027,3
10028,3
10029,4
10035,6
10037,2
10038,4
10039,3
10040,4
10041,3
10042,3
10043,4
10044,2
10045,5
10046,2
10047,3
10049,4
10057,4
10058,3
10059,3
10060,3
10061,1
10062,5
10063,4
10064,3
10065,4
10066,4
10067,3
10068,4
10069,3
10070,3
10071,5
10072,3
10073,4
10074,4
10075,5
10076,5
10077,6
10078,4
10079,2
10080,3
10081,1
10082,2
10083,4
10084,4
10085,3
10086,4
10087,3
10088,1
10089,2
10090,5
10091,3
10092,4
10093,5
10094,5
10095,2
10096,2
10097,3
10098,3
10099,3
10100,4
10101,3
10111,4
10112,5
10113,4
10114,4
10115,2
10116,4
10117,4
10118,4
10119,3
10120,2
10121,4
10122,4
10123,3
10125,5
10126,4
10127,6
10128,1
10129,4
10130,5
10131,5
10140,2
10142,4
10144,4
10145,4
10146,3
10147,2
10148,2
10149,4
10151,2
10152,4
10154,5
10155,4
10200,5
10204,4
10205,4
10206,3
10207,4
10208,2
10209,3
10211,1
10212,1
10213,3
10214,5
10215,1
10216,3
10217,3
10218,2
10219,5
10220,2
10221,4
10222,3
10223,1
10224,3
10225,4
10226,5
10228,4
10236,4
10237,5
10238,2
10239,4
10240,4
10241,5
10242,4
10243,5
10244,4
10245,3
10247,4
10248,4
10249,4
10251,6
10300,7
10304,6
10306,5
10307,6
10308,5
10309,6
10310,6
10311,6
10312,6
10314,5
10315,6
10316,3
10317,4
10350,2
10351,5
10352,5
10353,5
10354,6
10355,5
10356,6
10357,6
10358,4
10359,5
10360,5
10361,3
10362,5
10363,6
10364,5
10365,5
10366,5
10367,5
10368,4
10369,4
10375,5
10376,4
10377,4
10378,5
10379,5
10380,4
10382,1
10384,5
10385,5
10386,4
10387,5
10389,5
10390,5
10391,4
10392,5
10400,5
10401,2
10403,4
10404,5
10405,4
10406,2
10407,2
10408,4
10409,5
10410,2
10411,2
10412,3
10413,2
10414,3
10415,2
10416,2
10417,1
10418,3
10419,5
10421,5
10422,5
10423,6
10424,4
10425,4
10426,2
10427,3
10428,4
10429,1
10430,1
10432,4
10433,4
10434,5
10435,5
10437,3
10438,4
10439,2
10441,3
10443,6
10444,6
10445,6
10446,4
10447,3
10448,6
10449,3
10450,3
10451,1
10452,5
10453,5
10454,6
10456,5
10457,5
10459,4
10460,1
10461,5
10462,2
10463,2
10464,5
10465,3
10466,3
10468,4
10469,4
10470,3
10471,3
10472,2
10474,4
10476,4
10477,5
10478,4
10479,3
10480,6
10481,3
10482,5
10483,4
10484,6
10485,3
10486,4
10487,5
10488,4
10489,4
10490,5
10491,5
10492,6
10493,3
10494,4
10495,4
10496,5
10497,2
10498,5
10499,4
10500,5
10501,4
10502,5
10503,5
10504,5
10505,4
10506,4
10507,5
10509,3
10510,5
10511,4
10512,4
10513,5
10514,4
10515,4
10516,5
10517,5
10518,5
10519,2
10520,2
10521,4
10522,4
10523,4
10524,6
10526,3
10530,3
10531,4
10534,4
10535,4
10537,4
10538,4
10539,5
10540,6
10541,4
10542,2
10543,5
10544,3
10546,4
10547,1
10548,4
10549,5
10550,3
10552,5
10553,5
10554,6
10555,5
10556,1
10557,5
10559,3
10560,2
10561,5
10562,2
10563,4
10564,3
10565,3
10566,3
10567,4
10571,5
10572,5
10573,5
10574,5
10575,6
10577,2
10578,3
10580,4
10582,1
10583,5
10585,6
10586,6
10587,5
10588,6
10589,4
10592,4
10593,4
10594,4
10605,5
10606,4
10607,2
10608,2
10609,5
10610,5
10611,5
10612,5
10613,4
10614,5
10615,2
10616,2
10617,5
10618,2
10619,3
10620,6
10622,5
10624,4
10625,3
10626,1
10628,5
10629,5
10630,1
10631,5
10632,4
10633,4
10634,5
10635,2
10636,4
10637,2
10638,6
10639,3
10640,5
10641,4
10642,5
10643,3
10644,3
10645,3
10646,4
10647,3
10648,3
10649,4
10650,4
10651,4
10652,4
10653,3
10654,4
10655,4
10656,5
10657,5
10658,5
10659,1
10660,5
10661,4
10665,4
10666,4
10667,4
10668,2
10690,5
10691,2
10692,5
10693,5
10695,4
10696,3
10697,4
10698,2
10699,4
10701,4
10702,4
10703,2
10704,6
10705,4
10706,3
10708,2
10709,2
10710,3
10711,5
10712,2
10714,3
10715,2
10716,2
10717,5
10718,3
10719,4
10720,5
10721,5
10722,4
10723,2
10724,3
10725,4
10726,2
10727,5
10728,2
10729,2
10730,5
10731,2
10732,3
10733,2
10734,4
10735,2
10736,5
10737,5
10738,4
10739,3
10740,3
10741,3
10742,4
10743,4
10744,5
10745,5
10746,3
10747,5
10748,3
10749,4
10750,5
10752,4
10753,5
10754,5
10755,1
10756,2
10757,5
10758,5
10759,4
10760,4
10761,5
10763,5
10765,2
10766,2
10767,2
10770,4
10774,4
10775,3
10776,3
10778,4
10779,2
10780,4
10781,4
10782,3
10783,4
10785,2
10786,5
10787,5
10788,5
10790,2
10792,4
10793,2
10794,5
10803,2
10808,1
10810,2
10813,3
10815,2
10816,3
10817,2
10818,3
10820,5
10821,2
10822,2
10823,4
10827,1
10828,3
10829,3
10836,4
10837,2
10838,4
10839,2
10840,2
10848,3
10850,5
10851,2
10853,4
10856,2
10858,3
10859,1
10860,4
10861,2
10862,2
10863,1
10865,2
10866,3
10867,2
10868,4
10869,4
10870,2
10871,4
10872,3
10873,4
10875,3
10876,4
10877,4
10878,2
10879,4
10880,3
10882,2
10883,3
10884,2
10885,3
10886,3
10887,5
10888,4
10889,1
10890,5
10891,5
10892,3
10894,4
10895,3
10896,1
10897,2
10898,1
10899,4
10900,3
10901,2
10903,4
10905,2
10907,3
10908,2
10910,3
10911,2
10912,1
10915,5
10918,4
10919,2
10920,2
10921,3
10922,4
10923,3
10924,3
10925,2
10926,3
10927,3
10950,4
10951,4
10952,3
10953,5
10954,5
10955,5
10956,6
10957,4
10959,4
10960,2
10961,2
10962,2
10963,5
10964,2
10965,3
10966,4
10967,3
10968,4
10969,2
10970,4
10971,4
10972,4
10973,3
10974,2
10975,2
10976,2
10977,3
10978,3
10979,2
10980,3
10981,2
10982,4
10983,3
10984,4
10985,4
10986,4
10987,5
10988,5
10989,3
10990,2
10993,2
10994,2
10996,3
10997,3
10998,3
11002,5
11003,3
11004,4
11005,5
11006,3
11007,2
11008,4
11009,4
11010,4
11011,2
11012,5
11013,4
11014,3
11015,3
11016,3
11017,3
11018,3
11019,3
11020,2
11021,2
11022,4
11023,4
11024,5
11025,5
11027,5
11028,3
11029,4
11030,4
11031,4
11050,2
11051,4
11052,3
11053,4
11054,5
11055,5
11056,2
11057,5
11058,2
11059,2
11060,3
11061,4
11062,4
11063,4
11070,5
11071,5
11072,2
11073,5
11074,5
11075,5
11076,2
11077,2
11078,2
11079,5
11111,6
11200,5
11201,6
11202,4
11203,5
11204,5
11205,5
11206,6
11207,5
11208,4
11209,6
11210,6
11211,5
11213,4
11214,4
11216,5
11220,5
11221,5
11222,4
11225,4
12502,4
13000,4
13001,4
13003,3
13004,5
13007,5
13010,4
13011,3
13012,5
13013,6
13014,4
13015,4
13016,4
13019,4
13020,4
13021,4
108855,2
109174,3
